Year,Predicted_Population
1710,-165550134.24890804
1711,-164139832.79792547
1712,-162729531.34694338
1713,-161319229.8959608
1714,-159908928.4449787
1715,-158498626.99399614
1716,-157088325.54301405
1717,-155678024.09203196
1718,-154267722.64104939
1719,-152857421.1900673
1720,-151447119.73908472
1721,-150036818.28810263
1722,-148626516.83712006
1723,-147216215.38613796
1724,-145805913.9351554
1725,-144395612.4841733
1726,-142985311.0331912
1727,-141575009.58220863
1728,-140164708.13122654
1729,-138754406.68024397
1730,-137344105.22926188
1731,-135933803.7782793
1732,-134523502.3272972
1733,-133113200.87631512
1734,-131702899.42533255
1735,-130292597.97435045
1736,-128882296.52336788
1737,-127471995.07238579
1738,-126061693.62140322
1739,-124651392.17042112
1740,-123241090.71943903
1741,-121830789.26845646
1742,-120420487.81747437
1743,-119010186.3664918
1744,-117599884.9155097
1745,-116189583.46452713
1746,-114779282.01354504
1747,-113368980.56256294
1748,-111958679.11158037
1749,-110548377.66059828
1750,-109138076.2096157
1751,-107727774.75863361
1752,-106317473.30765104
1753,-104907171.85666895
1754,-103496870.40568638
1755,-102086568.95470428
1756,-100676267.50372219
1757,-99265966.05273962
1758,-97855664.60175753
1759,-96445363.15077496
1760,-95035061.69979286
1761,-93624760.24881029
1762,-92214458.7978282
1763,-90804157.3468461
1764,-89393855.89586353
1765,-87983554.44488144
1766,-86573252.99389887
1767,-85162951.54291677
1768,-83752650.0919342
1769,-82342348.64095211
1770,-80932047.18997002
1771,-79521745.73898745
1772,-78111444.28800535
1773,-76701142.83702278
1774,-75290841.38604069
1775,-73880539.93505812
1776,-72470238.48407602
1777,-71059937.03309393
1778,-69649635.58211136
1779,-68239334.13112926
1780,-66829032.680146694
1781,-65418731.2291646
1782,-64008429.77818203
1783,-62598128.327199936
1784,-61187826.876217365
1785,-59777525.42523527
1786,-58367223.97425318
1787,-56956922.52327061
1788,-55546621.07228851
1789,-54136319.62130594
1790,-52726018.17032385
1791,-51315716.71934128
1792,-49905415.268359184
1793,-48495113.81737709
1794,-47084812.36639452
1795,-45674510.915412426
1796,-44264209.464429855
1797,-42853908.01344776
1798,-41443606.56246519
1799,-40033305.1114831
1800,-38623003.660501
1801,-37212702.20951843
1802,-35802400.75853634
1803,-34392099.30755377
1804,-32981797.856571674
1805,-31571496.405589104
1806,-30161194.95460701
1807,-28750893.50362444
1808,-27340592.052642345
1809,-25930290.60166025
1810,-24519989.15067768
1811,-23109687.699695587
1812,-21699386.248713017
1813,-20289084.797730923
1814,-18878783.346748352
1815,-17468481.89576626
1816,-16058180.444784164
1817,-14647878.993801594
1818,-13237577.5428195
1819,-11827276.09183693
1820,-10416974.640854836
1821,-9006673.189872265
1822,-7596371.738890171
1823,-6186070.287908077
1824,-4775768.836925507
1825,-3365467.385943413
1826,-1955165.9349608421
1827,-544864.4839787483
1828,865436.9670038223
1829,2275738.417985916
1830,3686039.86896801
1831,5096341.319950581
1832,6506642.770932674
1833,7916944.221915245
1834,9327245.672897339
1835,10737547.12387991
1836,12147848.574862003
1837,13558150.025844574
1838,14968451.476826668
1839,16378752.927808762
1840,17789054.378791332
1841,19199355.829773426
1842,20609657.280755997
1843,22019958.73173809
1844,23430260.18272066
1845,24840561.633702755
1846,26250863.08468485
1847,27661164.53566742
1848,29071465.986649513
1849,30481767.437632084
1850,31892068.888614178
1851,33302370.33959675
1852,34712671.79057884
1853,36122973.241560936
1854,37533274.69254351
1855,38943576.1435256
1856,40353877.59450817
1857,41764179.045490265
1858,43174480.496472836
1859,44584781.94745493
1860,45995083.39843702
1861,47405384.849419594
1862,48815686.30040169
1863,50225987.75138426
1864,51636289.20236635
1865,53046590.65334892
1866,54456892.10433102
1867,55867193.55531359
1868,57277495.00629568
1869,58687796.457277775
1870,60098097.908260345
1871,61508399.35924244
1872,62918700.81022501
1873,64329002.261207104
1874,65739303.712189674
1875,67149605.16317177
1876,68559906.61415386
1877,69970208.06513643
1878,71380509.51611853
1879,72790810.9671011
1880,74201112.41808319
1881,75611413.86906576
1882,77021715.32004786
1883,78432016.77102995
1884,79842318.22201252
1885,81252619.67299461
1886,82662921.12397718
1887,84073222.57495928
1888,85483524.02594185
1889,86893825.47692394
1890,88304126.92790604
1891,89714428.3788886
1892,91124729.8298707
1893,92535031.28085327
1894,93945332.73183537
1895,95355634.18281794
1896,96765935.63380003
1897,98176237.0847826
1898,99586538.5357647
1899,100996839.98674679
1900,102407141.43772936
1901,103817442.88871145
1902,105227744.33969402
1903,106638045.79067612
1904,108048347.24165869
1905,109458648.69264078
1906,110868950.14362288
1907,112279251.59460545
1908,113689553.04558754
1909,115099854.49657011
1910,116510155.9475522
1911,117920457.39853477
1912,119330758.84951687
1913,120741060.30049896
1914,122151361.75148153
1915,123561663.20246363
1916,124971964.6534462
1917,126382266.10442829
1918,127792567.55541086
1919,129202869.00639296
1920,130613170.45737505
1921,132023471.90835762
1922,133433773.35933971
1923,134844074.81032228
1924,136254376.26130438
1925,137664677.71228695
1926,139074979.16326904
1927,140485280.6142516
1928,141895582.0652337
1929,143305883.5162158
1930,144716184.96719837
1931,146126486.41818047
1932,147536787.86916304
1933,148947089.32014513
1934,150357390.7711277
1935,151767692.2221098
1936,153177993.6730919
1937,154588295.12407446
1938,155998596.57505655
1939,157408898.02603912
1940,158819199.47702122
1941,160229500.9280038
1942,161639802.37898588
1943,163050103.82996798
1944,164460405.28095055
1945,165870706.73193264
1946,167281008.1829152
1947,168691309.6338973
1948,170101611.08487988
1949,171511912.53586197
1950,172922213.98684454
1951,174332515.43782663
1952,175742816.88880873
1953,177153118.3397913
1954,178563419.7907734
1955,179973721.24175596
1956,181384022.69273806
1957,182794324.14372063
1958,184204625.59470272
1959,185614927.0456848
1960,187025228.4966674
1961,188435529.94764948
1962,189845831.39863205
1963,191256132.84961414
1964,192666434.3005967
1965,194076735.7515788
1966,195487037.2025609
1967,196897338.65354347
1968,198307640.10452557
1969,199717941.55550814
1970,201128243.00649023
1971,202538544.4574728
1972,203948845.9084549
1973,205359147.359437
1974,206769448.81041956
1975,208179750.26140165
1976,209590051.71238422
1977,211000353.16336632
1978,212410654.6143489
1979,213820956.06533098
1980,215231257.51631355
1981,216641558.96729565
1982,218051860.41827774
1983,219462161.8692603
1984,220872463.3202424
1985,222282764.77122498
1986,223693066.22220707
1987,225103367.67318964
1988,226513669.12417173
1989,227923970.57515383
1990,229334272.0261364
1991,230744573.4771185
1992,232154874.92810106
1993,233565176.37908316
1994,234975477.83006573
1995,236385779.28104782
1996,237796080.7320299
1997,239206382.1830125
1998,240616683.63399458
1999,242026985.08497715
2000,243437286.53595924
2001,244847587.9869418
2002,246257889.4379239
2003,247668190.888906
2004,249078492.33988857
2005,250488793.79087067
2006,251899095.24185324
2007,253309396.69283533
2008,254719698.1438179
2009,256129999.5948
2010,257540301.04578257
2011,258950602.49676466
2012,260360903.94774675
2013,261771205.39872932
2014,263181506.84971142
2015,264591808.300694
2016,266002109.75167608
2017,267412411.20265865
2018,268822712.65364075
2019,270233014.10462284
2020,271643315.5556054
2021,273053617.0065875
2022,274463918.4575701
2023,275874219.90855217
2024,277284521.35953474
